# STATION: KCLL
# STATION NAME: College Station, Easterwood Field
# LATITUDE: 30.58222
# LONGITUDE: -96.36167
# ELEVATION [ft]: 318.0
# STATE: TX
Station_ID,Date_Time,air_temp_set_1,relative_humidity_set_1,wind_speed_set_1,precip_accum_24_hour_set_1
,,Fahrenheit,%,Miles/hour,Inches
KCLL,10/01/2024 00:00 UTC,91.4,33.95,0.0,
KCLL,10/01/2024 00:05 UTC,89.6,35.92,3.45,
KCLL,10/01/2024 00:10 UTC,89.6,35.92,0.0,
KCLL,10/01/2024 00:15 UTC,89.6,38.29,3.45,
KCLL,10/01/2024 00:20 UTC,89.6,38.29,0.0,
KCLL,10/01/2024 00:25 UTC,89.6,38.29,3.45,
KCLL,10/01/2024 00:30 UTC,89.6,38.29,3.45,
KCLL,10/01/2024 00:35 UTC,87.8,40.52,3.45,
KCLL,10/01/2024 00:40 UTC,87.8,40.52,3.45,
KCLL,10/01/2024 00:45 UTC,86.0,42.9,3.45,
KCLL,10/01/2024 00:50 UTC,86.0,42.9,3.45,
KCLL,10/01/2024 00:53 UTC,86.0,43.18,4.6,
KCLL,10/01/2024 00:55 UTC,86.0,42.9,3.45,
KCLL,10/01/2024 01:00 UTC,86.0,42.9,3.45,
KCLL,10/01/2024 01:05 UTC,86.0,45.72,3.45,
KCLL,10/01/2024 01:10 UTC,84.2,48.42,3.45,
KCLL,10/01/2024 01:15 UTC,82.4,51.31,5.75,
KCLL,10/01/2024 01:20 UTC,82.4,51.31,3.45,
KCLL,10/01/2024 01:25 UTC,84.2,45.44,5.75,
KCLL,10/01/2024 01:30 UTC,86.0,42.9,5.75,
KCLL,10/01/2024 01:35 UTC,84.2,48.42,5.75,
KCLL,10/01/2024 01:40 UTC,84.2,48.42,6.91,
KCLL,10/01/2024 01:45 UTC,84.2,48.42,5.75,
KCLL,10/01/2024 01:50 UTC,84.2,48.42,5.75,
KCLL,10/01/2024 01:53 UTC,84.92,46.43,4.6,
KCLL,10/01/2024 01:55 UTC,84.2,48.42,5.75,
KCLL,10/01/2024 02:00 UTC,84.2,48.42,5.75,
KCLL,10/01/2024 02:05 UTC,84.2,48.42,5.75,
KCLL,10/01/2024 02:10 UTC,84.2,48.42,5.75,
KCLL,10/01/2024 02:15 UTC,82.4,51.31,4.6,
KCLL,10/01/2024 02:20 UTC,82.4,51.31,4.6,
KCLL,10/01/2024 02:25 UTC,82.4,51.31,4.6,
KCLL,10/01/2024 02:30 UTC,82.4,51.31,4.6,
KCLL,10/01/2024 02:35 UTC,82.4,51.31,5.75,
KCLL,10/01/2024 02:40 UTC,82.4,51.31,4.6,
KCLL,10/01/2024 02:45 UTC,82.4,51.31,4.6,
KCLL,10/01/2024 02:50 UTC,82.4,51.31,4.6,
KCLL,10/01/2024 02:53 UTC,82.04,52.57,4.6,
KCLL,10/01/2024 02:55 UTC,82.4,51.31,4.6,
KCLL,10/01/2024 03:00 UTC,82.4,51.31,5.75,
KCLL,10/01/2024 03:05 UTC,82.4,51.31,5.75,
KCLL,10/01/2024 03:10 UTC,82.4,51.31,5.75,
KCLL,10/01/2024 03:15 UTC,82.4,51.31,9.21,
KCLL,10/01/2024 03:20 UTC,82.4,51.31,8.06,
KCLL,10/01/2024 03:25 UTC,80.6,54.4,5.75,
KCLL,10/01/2024 03:30 UTC,80.6,54.4,4.6,
KCLL,10/01/2024 03:35 UTC,80.6,54.4,5.75,
KCLL,10/01/2024 03:40 UTC,80.6,54.4,6.91,
KCLL,10/01/2024 03:45 UTC,80.6,54.4,10.36,
KCLL,10/01/2024 03:50 UTC,80.6,54.4,11.51,
KCLL,10/01/2024 03:53 UTC,80.96,54.45,11.51,
KCLL,10/01/2024 03:55 UTC,80.6,54.4,11.51,
KCLL,10/01/2024 04:00 UTC,80.6,54.4,,
KCLL,10/01/2024 04:05 UTC,80.6,54.4,,
KCLL,10/01/2024 04:10 UTC,80.6,57.94,,
KCLL,10/01/2024 04:15 UTC,80.6,57.94,,
KCLL,10/01/2024 04:20 UTC,78.8,61.44,,
KCLL,10/01/2024 04:25 UTC,78.8,61.44,,
KCLL,10/01/2024 04:30 UTC,78.8,61.44,,
KCLL,10/01/2024 04:35 UTC,78.8,61.44,,
KCLL,10/01/2024 04:40 UTC,78.8,61.44,,
KCLL,10/01/2024 04:45 UTC,78.8,61.44,8.06,
KCLL,10/01/2024 04:50 UTC,78.8,61.44,,
KCLL,10/01/2024 04:53 UTC,77.0,66.43,,
KCLL,10/01/2024 04:55 UTC,77.0,65.2,,
KCLL,10/01/2024 05:00 UTC,77.0,65.2,,
KCLL,10/01/2024 05:05 UTC,77.0,65.2,,
KCLL,10/01/2024 05:10 UTC,77.0,65.2,,
KCLL,10/01/2024 05:15 UTC,77.0,65.2,,
KCLL,10/01/2024 05:20 UTC,75.2,69.21,,
KCLL,10/01/2024 05:25 UTC,75.2,69.21,4.6,
KCLL,10/01/2024 05:30 UTC,75.2,69.21,4.6,
KCLL,10/01/2024 05:35 UTC,75.2,69.21,4.6,
KCLL,10/01/2024 05:40 UTC,75.2,69.21,5.75,
KCLL,10/01/2024 05:45 UTC,75.2,69.21,5.75,
KCLL,10/01/2024 05:50 UTC,75.2,69.21,5.75,
KCLL,10/01/2024 05:53 UTC,75.02,70.95,4.6,
KCLL,10/01/2024 05:55 UTC,75.2,69.21,4.6,
KCLL,10/01/2024 06:00 UTC,75.2,69.21,5.75,
KCLL,10/01/2024 06:05 UTC,75.2,69.21,5.75,
KCLL,10/01/2024 06:10 UTC,75.2,69.21,,
KCLL,10/01/2024 06:15 UTC,75.2,69.21,,
KCLL,10/01/2024 06:20 UTC,73.4,73.5,,
KCLL,10/01/2024 06:25 UTC,73.4,73.5,0.0,
KCLL,10/01/2024 06:30 UTC,75.2,69.21,0.0,
KCLL,10/01/2024 06:35 UTC,73.4,73.5,0.0,
KCLL,10/01/2024 06:40 UTC,73.4,73.5,0.0,
KCLL,10/01/2024 06:45 UTC,73.4,73.5,0.0,
KCLL,10/01/2024 06:50 UTC,73.4,73.5,0.0,
KCLL,10/01/2024 06:53 UTC,73.94,73.55,0.0,
KCLL,10/01/2024 06:55 UTC,73.4,73.5,0.0,
KCLL,10/01/2024 07:00 UTC,75.2,69.21,0.0,
KCLL,10/01/2024 07:05 UTC,75.2,69.21,0.0,
KCLL,10/01/2024 07:10 UTC,73.4,73.5,0.0,
KCLL,10/01/2024 07:15 UTC,73.4,73.5,0.0,
KCLL,10/01/2024 07:20 UTC,73.4,73.5,0.0,
KCLL,10/01/2024 07:25 UTC,73.4,73.5,0.0,
KCLL,10/01/2024 07:30 UTC,73.4,73.5,0.0,
KCLL,10/01/2024 07:35 UTC,73.4,73.5,0.0,
KCLL,10/01/2024 07:40 UTC,73.4,73.5,0.0,
KCLL,10/01/2024 07:45 UTC,73.4,73.5,0.0,
KCLL,10/01/2024 07:50 UTC,73.4,73.5,0.0,
KCLL,10/01/2024 07:53 UTC,73.04,75.81,0.0,
KCLL,10/01/2024 07:55 UTC,73.4,73.5,0.0,
KCLL,10/01/2024 08:00 UTC,71.6,78.09,,
KCLL,10/01/2024 08:05 UTC,73.4,73.5,0.0,
KCLL,10/01/2024 08:10 UTC,73.4,73.5,,
KCLL,10/01/2024 08:15 UTC,73.4,73.5,0.0,
KCLL,10/01/2024 08:20 UTC,73.4,73.5,,
KCLL,10/01/2024 08:25 UTC,73.4,73.5,,
KCLL,10/01/2024 08:30 UTC,73.4,73.5,,
KCLL,10/01/2024 08:35 UTC,73.4,73.5,,
KCLL,10/01/2024 08:40 UTC,71.6,78.09,,
KCLL,10/01/2024 08:45 UTC,71.6,78.09,0.0,
KCLL,10/01/2024 08:50 UTC,71.6,78.09,0.0,
KCLL,10/01/2024 08:53 UTC,71.06,81.04,0.0,
KCLL,10/01/2024 08:55 UTC,71.6,78.09,0.0,
KCLL,10/01/2024 09:00 UTC,71.6,78.09,0.0,
KCLL,10/01/2024 09:05 UTC,71.6,78.09,0.0,
KCLL,10/01/2024 09:10 UTC,71.6,78.09,3.45,
KCLL,10/01/2024 09:15 UTC,71.6,78.09,0.0,
KCLL,10/01/2024 09:20 UTC,69.8,83.01,3.45,
KCLL,10/01/2024 09:25 UTC,69.8,83.01,3.45,
KCLL,10/01/2024 09:30 UTC,71.6,78.09,3.45,
